match_id,inning,over,ball,batsman_runs,bowler_runs,is_wicket
52,2,7,4,4,3,0
65,2,17,2,6,3,1
1355,1,11,2,0,0,1
336,1,12,1,3,4,0
1493,2,19,1,4,1,0
150,1,10,1,0,6,0
333,2,14,2,4,0,0
1900,2,19,6,3,4,1
694,1,12,3,6,6,0
754,1,16,3,0,2,1
1515,1,4,2,2,4,0
384,2,10,5,6,4,0
848,2,8,3,6,0,0
917,1,6,3,0,0,0
268,1,20,2,4,0,1
82,1,8,2,0,0,1
1149,2,16,5,4,0,0
1583,1,11,6,6,6,0
595,1,10,4,6,3,1
771,2,13,2,1,0,0
1167,2,17,2,1,0,0
867,1,11,1,4,0,0
281,2,5,5,6,3,1
1512,2,19,3,0,4,0
985,2,19,6,3,0,1
184,1,1,3,0,0,0
8,1,7,3,0,2,0
1513,1,11,6,0,6,1
1716,2,4,2,3,0,0
1347,2,5,4,4,6,1
1189,2,11,4,6,0,0
1101,2,20,5,2,4,1
779,1,20,5,0,0,1
703,2,1,3,4,0,1
1673,1,5,6,0,4,0
815,2,7,6,6,0,1
1826,2,19,5,3,6,0
1606,2,3,4,0,1,0
1801,1,12,2,1,1,1
1534,2,6,1,4,1,0
623,2,9,6,1,1,0
1607,1,8,1,6,0,1
1488,2,16,4,4,6,0
476,2,8,1,4,2,1
274,1,14,3,0,1,0
1238,2,17,3,6,1,0
1885,2,18,1,3,2,0
1256,2,11,3,0,3,1
1467,1,1,5,6,2,0
852,1,16,1,0,0,0
1823,2,16,6,6,0,0
1272,2,8,2,6,2,1
1292,2,20,4,4,0,0
1018,2,13,6,4,4,0
60,1,13,4,2,4,1
1441,2,9,1,2,4,0
800,2,15,5,4,6,0
551,1,18,6,2,3,1
1169,2,2,3,6,1,1
200,1,5,2,4,6,0
389,2,16,1,6,0,0
1317,2,16,3,3,0,0
760,2,9,1,2,3,0
1655,2,10,2,2,0,1
83,1,2,2,1,3,0
449,1,10,2,4,1,0
1730,2,4,1,0,0,1
1739,2,10,1,2,1,1
718,1,11,6,3,3,0
952,2,7,3,6,2,1
1351,2,3,5,6,4,0
263,2,14,2,3,1,0
142,1,6,6,4,0,0
953,2,20,1,2,1,0
454,2,11,5,4,2,0
202,2,14,5,0,2,1
1783,1,16,2,1,0,0
328,1,20,6,0,1,0
930,1,18,5,1,4,0
521,2,7,6,4,0,1
274,2,14,2,0,0,0
784,1,10,2,3,3,0
1160,1,19,3,0,6,0
744,2,15,4,6,6,0
80,2,5,5,0,0,0
126,2,20,6,4,2,0
141,2,16,5,1,6,0
613,2,9,2,0,0,1
729,2,2,1,2,3,0
978,1,19,5,0,0,0
1538,1,12,6,4,1,0
1598,1,5,1,2,0,0
188,1,20,6,2,0,0
299,1,7,2,0,0,0
69,2,19,1,2,3,1
984,1,1,2,0,4,0
86,2,20,6,6,2,0
855,2,8,5,0,3,1
883,2,4,4,0,3,0
1974,1,4,6,3,1,1
150,2,9,5,0,0,1
514,1,7,4,4,3,1
1438,1,3,3,1,2,0
273,2,20,5,1,0,1
1597,1,16,5,2,2,0
303,2,11,1,2,1,0
41,2,19,6,4,0,0
590,1,9,4,0,0,0
1704,2,13,5,4,1,1
1763,2,16,2,0,0,1
19,1,8,1,4,1,0
1564,1,7,1,2,4,0
1866,2,12,1,0,0,0
1796,2,9,2,0,1,0
160,2,3,4,0,0,1
1549,2,12,1,2,6,1
1986,2,13,5,6,3,0
1750,2,1,3,0,1,1
1712,1,4,6,6,4,1
1364,2,15,2,4,0,1
1492,1,1,5,0,3,0
185,1,12,6,0,4,0
520,1,14,4,4,4,1
202,2,16,3,6,4,0
1978,2,14,2,6,4,0
670,2,4,5,4,2,0
1335,1,1,6,3,0,0
197,2,5,2,0,4,1
1273,2,6,5,0,2,1
1022,2,14,2,3,3,0
1363,2,8,1,4,4,1
727,1,5,1,2,1,0
852,1,7,1,4,6,1
1820,2,13,4,4,4,1
1177,1,11,4,0,0,0
1440,1,5,1,0,0,0
360,2,11,1,6,0,1
1269,1,6,3,1,3,1
566,2,13,5,3,3,1
1963,1,14,3,2,2,1
1721,1,5,1,0,2,0
1444,1,6,4,0,3,0
1048,1,17,3,0,0,0
1065,2,15,5,0,0,1
658,2,6,4,0,0,1
734,2,10,3,4,0,0
1469,1,3,3,3,1,0
1249,1,6,1,0,0,0
491,1,2,3,2,0,1
317,1,3,5,0,0,1
1793,1,20,3,0,6,0
868,1,19,6,2,3,1
68,1,16,3,0,1,0
442,1,6,3,0,4,0
1628,2,13,1,1,0,0
929,1,7,4,3,0,0
1760,2,16,6,0,1,1
359,2,2,2,0,4,0
767,1,8,4,6,3,1
1426,2,16,4,6,2,1
1391,2,18,3,6,6,1
1790,1,15,3,3,4,0
1280,2,15,5,0,2,1
1559,1,3,5,1,3,0
420,1,6,3,6,6,1
1745,1,12,6,1,6,0
572,2,5,2,1,4,0
382,1,13,2,6,2,1
1518,2,17,4,1,1,0
871,1,1,1,6,6,1
392,1,10,5,6,4,0
224,1,14,3,1,1,0
364,1,17,6,0,2,0
965,2,6,2,1,0,0
1606,1,15,2,0,4,1
499,2,9,6,0,0,0
1719,1,13,6,6,4,1
557,2,3,5,2,4,0
324,1,18,1,6,2,0
479,2,4,2,0,1,0
304,1,15,4,0,4,0
1671,2,9,1,1,0,0
125,2,7,1,0,2,0
1301,2,11,6,0,4,0
1625,1,13,4,0,6,1
1092,2,7,3,0,4,0
164,1,9,1,0,4,0
1219,1,12,5,2,3,0
241,1,14,2,0,0,1
1306,2,12,6,0,0,0
1095,2,12,4,3,6,1
528,1,19,3,2,0,0
1812,1,8,4,1,2,1
333,1,6,5,4,4,0
994,2,1,6,0,0,0
1524,1,16,1,2,0,0
934,1,13,1,4,4,1
354,2,15,3,1,0,1
259,2,15,5,6,3,0
394,2,12,1,6,6,1
1707,2,19,6,1,3,0
214,1,11,6,1,0,1
785,2,18,4,0,0,1
149,2,2,5,2,2,0
801,2,14,5,6,0,0
830,2,9,1,4,6,1
516,1,19,2,0,0,0
1204,2,5,5,0,0,0
1689,2,16,4,0,0,0
1477,1,20,5,3,4,1
1210,2,18,2,4,0,0
1135,2,11,2,0,3,0
1860,1,1,6,2,0,0
1649,2,10,1,3,0,0
530,1,6,4,0,6,0
1676,1,18,2,0,0,0
1569,1,9,6,6,1,1
1161,1,16,1,0,4,0
1192,2,6,3,0,3,0
1514,2,15,2,2,2,1
943,1,10,6,6,4,1
1452,2,6,6,0,3,0
151,2,14,4,0,3,0
767,2,1,3,6,0,1
1519,2,5,6,2,0,0
739,2,8,6,0,4,0
1936,1,1,2,2,4,1
1859,2,4,3,0,0,0
1791,2,9,3,6,2,0
1627,1,12,6,4,4,0
1489,2,8,2,1,0,0
923,2,10,1,4,2,1
155,1,3,1,1,2,1
330,1,1,2,0,0,1
907,2,6,3,6,0,0
1921,2,15,6,6,2,0
55,1,4,6,0,1,1
112,2,6,3,0,1,1
461,1,20,4,1,2,1
816,2,17,1,2,6,0
333,1,9,1,2,3,0
1976,2,14,4,6,6,1
1004,2,20,5,0,0,1
1398,1,3,2,3,1,0
1184,2,10,1,1,6,0
774,1,15,2,0,0,0
554,1,4,4,3,0,0
812,1,15,5,1,0,0
1778,1,17,5,3,4,1
1402,2,12,2,6,0,1
1843,2,6,4,3,2,0
1449,2,18,1,1,0,0
569,2,2,2,0,0,1
831,2,19,3,0,4,0
479,1,20,4,6,0,0
1288,1,13,5,4,0,0
1873,1,19,3,6,6,1
369,1,8,2,3,0,0
574,1,9,6,0,0,0
1263,1,12,3,0,6,1
1241,1,4,5,1,2,0
745,2,8,3,4,1,1
995,1,4,5,3,1,0
399,1,6,4,0,3,0
1739,2,16,4,4,0,1
632,2,10,6,4,6,1
724,2,3,1,4,0,0
1046,2,2,2,6,0,0
1505,1,15,1,1,0,0
733,1,4,5,0,0,0
901,2,6,2,4,0,1
1465,2,14,2,3,2,0
471,1,14,5,6,0,0
1512,1,3,3,4,1,0
332,2,19,1,3,6,0
658,2,9,6,0,4,1
1113,1,4,1,4,1,0
1034,1,12,3,1,2,1
761,1,13,1,1,2,0
1881,1,2,3,1,1,1
947,2,19,2,4,1,1
1631,1,7,4,4,0,0
498,2,9,5,6,1,0
428,1,5,2,1,2,0
1722,2,4,2,1,2,0
739,1,16,4,4,2,1
877,1,6,5,3,3,0
1078,1,19,5,4,6,0
732,2,4,4,6,2,1
1025,1,16,4,0,3,1
1983,1,17,3,0,0,1
1798,1,12,1,2,0,0
449,2,7,3,1,6,0
1481,1,4,4,4,0,1
1848,1,1,3,6,1,0
1712,2,20,6,1,0,1
1223,1,10,3,3,2,0
1590,2,17,1,0,4,0
715,2,14,2,1,4,0
955,1,11,6,6,0,0
1339,1,9,3,6,0,0
963,2,12,6,1,2,0
1840,2,18,3,6,0,0
277,1,19,2,0,1,0
176,2,18,3,0,6,0
1878,1,11,3,4,3,0
815,1,14,4,3,4,0
34,2,16,2,1,2,1
1118,2,19,1,0,0,1
1471,1,9,4,0,2,0
1326,2,4,2,1,1,1
1288,1,10,1,1,0,0
1366,1,18,2,4,0,1
1166,2,4,6,0,4,0
597,1,20,3,1,0,0
569,2,4,3,0,2,0
1518,1,3,4,0,3,0
1587,2,16,6,0,6,1
1304,1,16,4,6,6,0
1934,1,12,6,4,4,1
823,2,15,2,0,0,0
1566,2,9,3,1,3,0
150,2,16,5,1,1,1
455,1,15,4,0,0,0
1016,2,3,1,0,1,0
185,2,3,3,1,0,1
1395,1,5,4,4,0,1
1897,2,6,6,2,1,0
702,1,12,4,0,0,1
91,2,12,5,1,4,0
80,2,12,1,0,6,0
18,2,16,1,2,1,0
240,2,2,6,3,6,0
1797,2,4,6,3,4,0
966,1,4,5,3,1,0
1493,2,7,5,2,0,0
219,1,13,3,2,3,1
1013,1,12,5,0,0,0
1923,2,11,2,0,0,1
1229,2,1,2,1,0,0
1400,1,4,2,2,1,0
1225,2,13,4,6,2,0
458,1,10,4,6,0,1
108,2,18,5,1,6,0
526,2,14,4,6,2,1
346,2,8,2,3,1,0
813,1,20,1,2,0,0
892,1,20,5,6,0,0
861,2,14,1,4,4,0
1747,2,14,5,4,4,0
1624,2,18,6,3,0,0
924,2,18,4,1,3,1
1277,2,17,2,0,0,0
1074,2,20,5,3,3,0
1247,2,3,6,4,0,0
1400,1,4,1,6,4,0
691,2,6,5,0,4,0
365,2,10,3,0,0,0
173,2,12,4,1,1,0
657,1,1,2,0,4,0
617,2,19,4,2,4,0
483,2,18,6,6,1,1
166,2,13,6,4,0,0
943,2,1,4,0,2,1
410,2,8,2,3,1,0
730,1,15,2,1,1,1
1277,1,12,5,3,0,0
1404,2,16,3,6,1,1
1552,2,13,4,0,1,0
328,2,5,4,6,6,1
1056,1,6,1,4,0,0
957,1,13,6,0,0,1
85,2,14,3,0,0,0
1522,2,10,2,0,2,0
1859,1,5,3,3,0,0
823,2,2,6,4,0,0
191,2,15,3,6,1,1
1761,1,14,1,1,0,0
1270,2,1,1,4,0,0
1550,1,13,6,0,1,1
1128,2,6,1,2,1,1
1398,1,6,3,2,4,1
802,1,16,4,3,0,1
208,2,7,2,6,1,0
802,1,9,5,0,3,1
1093,1,7,3,2,2,0
660,1,4,2,6,1,1
1881,2,18,1,0,0,0
981,1,10,2,3,3,0
32,1,8,2,1,1,1
1085,1,2,3,1,6,0
1687,2,19,4,0,2,1
48,2,11,4,4,2,0
376,2,11,5,1,3,0
1420,2,14,5,0,4,0
101,1,18,5,6,4,1
160,2,10,6,6,2,1
732,1,19,1,4,2,0
1598,2,3,4,4,0,1
1448,1,17,1,4,4,0
1054,2,14,2,2,2,0
804,2,3,4,3,0,0
318,2,13,5,0,0,0
1264,2,17,6,2,3,0
1988,2,20,1,6,0,0
90,2,10,3,0,4,0
1978,2,11,2,0,0,1
984,1,14,3,4,1,0
1429,2,3,2,0,6,1
576,2,9,1,2,6,1
1641,2,19,6,1,4,1
524,2,15,3,2,2,0
1158,1,10,1,6,3,0
864,2,15,2,1,2,0
779,2,13,3,6,1,1
1992,2,8,1,6,1,0
1865,2,6,4,3,1,0
1609,2,19,4,1,3,1
70,2,9,4,4,4,0
1506,2,10,1,1,2,0
1929,2,5,3,0,3,1
115,1,1,4,2,0,1
955,1,7,2,0,6,0
1839,2,8,5,1,2,0
1012,2,9,1,4,3,0
806,2,11,4,1,0,0
1668,2,20,6,6,0,0
5,1,6,1,0,0,1
1741,1,14,2,1,2,1
1276,1,2,4,1,6,0
4,1,6,4,6,0,0
922,2,5,3,1,1,0
1721,1,1,5,4,6,1
1430,2,15,1,2,4,0
703,2,10,1,4,1,0
1732,2,7,1,4,2,0
1747,1,9,4,0,0,0
826,2,3,6,4,2,0
1498,2,6,2,0,2,0
1343,2,6,2,1,4,0
1291,2,14,5,6,0,0
469,1,5,6,1,4,1
561,2,2,3,3,2,0
454,2,2,2,0,4,0
1568,1,4,2,0,2,0
1289,2,7,3,6,1,0
788,1,9,4,4,2,0
1526,2,16,2,4,0,0
1959,2,19,1,6,6,0
984,1,19,1,1,0,0
764,2,1,3,3,3,0
1672,2,6,3,3,6,1
149,2,9,2,2,0,1
1153,2,12,5,0,0,1
1092,2,2,5,6,2,0
719,2,4,6,1,0,0
370,1,20,4,4,1,0
577,2,17,6,4,2,0
1356,2,12,6,3,1,0
1130,2,6,4,0,6,0
991,2,14,3,1,4,0
1227,2,16,6,2,3,0
1620,2,19,2,0,6,0
1690,1,1,3,4,0,0
66,1,18,2,0,3,1
837,1,10,4,1,3,0
1092,1,9,2,2,6,0
1066,1,6,1,4,4,1
1720,2,4,2,6,6,1
1533,2,8,3,0,0,0
1768,1,18,6,0,6,0
1312,1,13,2,1,1,0
781,1,18,5,6,0,0
1051,2,9,6,0,0,1
150,1,4,1,6,2,0
1755,1,11,1,3,0,0
1029,1,18,1,4,3,0
24,1,10,2,6,0,1
767,1,5,4,0,3,1
202,2,13,4,3,6,0
1504,1,6,1,1,0,0
1984,2,5,3,1,0,1
1652,2,10,4,6,2,0
1596,1,3,5,3,6,1
1255,1,8,5,3,0,0
1328,1,14,4,0,0,1
1106,2,6,2,2,3,0
451,1,19,3,0,1,1
218,2,19,6,2,3,0
788,2,16,3,1,6,0
1548,2,8,2,0,0,0
529,2,3,5,0,6,1
295,2,18,3,6,3,0
1710,1,13,4,3,0,0
1650,1,12,2,0,3,0
118,2,4,2,0,0,0
1959,2,15,6,6,0,1
1037,1,13,3,3,0,0
973,2,12,6,6,2,0
314,1,4,5,0,2,1
266,1,19,2,6,3,0
1351,2,19,4,6,4,0
1578,1,20,6,4,1,0
599,1,18,1,6,0,0
731,1,10,5,0,4,0
51,2,8,1,2,6,1
354,1,13,3,3,1,0
1679,2,1,6,1,2,1
515,2,2,5,6,0,1
1194,2,9,1,1,2,1
997,1,7,1,6,2,1
1200,1,7,2,4,6,0
1473,2,14,4,2,0,0
710,1,17,5,2,3,0
36,1,9,4,2,3,0
1261,1,1,6,6,2,0
1616,2,17,5,3,2,1
1447,2,6,1,0,0,0
1606,2,16,5,3,0,1
907,2,13,3,2,3,0
1576,2,9,1,0,6,0
1452,1,2,1,6,0,1
1251,1,20,4,6,0,0
978,2,15,3,0,0,0
1686,2,17,3,0,6,0
893,2,17,5,0,0,0
296,1,2,2,0,1,0
900,1,9,4,2,0,0
963,2,18,2,2,6,0
1944,2,2,3,1,1,1
1175,1,12,3,0,1,1
81,1,12,3,0,6,1
1634,2,2,6,0,0,0
576,2,7,2,3,0,0
1407,1,11,3,3,2,0
430,2,17,2,1,3,1
796,2,3,3,6,6,0
1176,2,1,5,6,0,0
1155,1,1,6,2,0,1
1590,2,12,2,1,6,0
15,2,11,4,1,3,1
1379,1,18,3,0,3,1
115,1,16,3,6,3,1
1687,1,5,6,6,6,0
508,2,12,6,0,3,0
684,1,13,3,6,0,0
1157,2,13,5,4,1,0
1615,2,18,2,0,2,0
